iter	Passed	Remaining
1315	72925	26820
1316	72981	26765
1317	73037	26710
1318	73095	26655
1319	73144	26598
1320	73200	26542
1321	73258	26488
1322	73316	26433
1323	73392	26385
1324	73474	26339
1325	73557	26294
1326	73617	26240
1327	73685	26189
1328	73757	26139
1329	73829	26090
1330	73898	26039
1331	73964	25987
1332	74028	25935
1333	74101	25885
1334	74169	25834
1335	74239	25783
1336	74304	25731
1337	74352	25673
1338	74417	25620
1339	74464	25562
1340	74518	25506
1341	74573	25450
1342	74631	25395
1343	74690	25341
1344	74744	25285
1345	74798	25229
1346	74858	25175
1347	74929	25124
1348	74978	25067
1349	75030	25010
1350	75089	24955
1351	75155	24903
1352	75209	24847
1353	75273	24794
1354	75341	24743
1355	75406	24690
1356	75462	24635
1357	75520	24580
1358	75580	24526
1359	75635	24470
1360	75693	24415
1361	75745	24358
1362	75798	24302
1363	75855	24246
1364	75909	24190
1365	75965	24135
1366	76021	24079
1367	76077	24024
1368	76136	23969
1369	76192	23914
1370	76246	23858
1371	76306	23803
1372	76366	23749
1373	76425	23695
1374	76486	23641
1375	76547	23587
1376	76599	23530
1377	76653	23474
1378	76710	23419
1379	76765	23363
1380	76820	23307
1381	76870	23250
1382	76924	23194
1383	76979	23138
1384	77032	23081
1385	77088	23026
1386	77143	22970
1387	77200	22915
1388	77255	22859
1389	77313	22804
1390	77372	22750
1391	77432	22695
1392	77492	22641
1393	77546	22585
1394	77602	22529
1395	77667	22476
1396	77725	22421
1397	77781	22366
1398	77830	22308
1399	77885	22253
1400	77938	22196
1401	77997	22141
1402	78060	22088
1403	78117	22033
1404	78177	21978
1405	78233	21923
1406	78287	21867
1407	78345	21812
1408	78402	21756
1409	78454	21700
1410	78507	21643
1411	78564	21588
1412	78626	21534
1413	78687	21480
1414	78743	21424
1415	78767	21360
1416	78820	21304
1417	78868	21246
1418	78916	21189
1419	78973	21133
1420	79032	21079
1421	79090	21024
1422	79146	20968
1423	79207	20914
1424	79261	20858
1425	79320	20803
1426	79380	20749
1427	79434	20692
1428	79493	20638
1429	79549	20582
1430	79607	20527
1431	79668	20473
1432	79723	20417
1433	79768	20359
1434	79824	20303
1435	79881	20248
1436	79938	20193
1437	79994	20137
1438	80054	20083
1439	80110	20027
1440	80166	19972
1441	80221	19916
1442	80279	19861
1443	80336	19805
1444	80390	19749
1445	80446	19694
1446	80504	19639
1447	80560	19583
1448	80617	19528
1449	80677	19473
1450	80734	19418
1451	80791	19363
1452	80849	19308
1453	80902	19251
1454	80958	19196
1455	81013	19140
1456	81066	19084
1457	81122	19028
1458	81180	18973
1459	81233	18917
1460	81288	18861
1461	81349	18807
1462	81403	18751
1463	81459	18695
1464	81519	18641
1465	81575	18585
1466	81635	18530
1467	81693	18475
1468	81751	18420
1469	81808	18365
1470	81867	18310
1471	81927	18255
1472	81981	18199
1473	82041	18144
1474	82097	18089
1475	82149	18032
1476	82207	17977
1477	82261	17921
1478	82315	17865
1479	82368	17809
1480	82424	17753
1481	82479	17697
1482	82536	17642
1483	82591	17586
1484	82649	17531
1485	82706	17476
1486	82756	17419
1487	82814	17364
1488	82869	17308
1489	82923	17252
1490	82980	17197
1491	83037	17141
1492	83096	17086
1493	83156	17032
1494	83180	16969
1495	83238	16914
1496	83291	16858
1497	83352	16804
1498	83405	16747
1499	83462	16692
1500	83516	16636
1501	83563	16579
1502	83618	16523
1503	83670	16467
1504	83722	16410
1505	83774	16354
1506	83832	16299
1507	83886	16243
1508	83943	16187
1509	83992	16130
1510	84045	16074
1511	84097	16018
1512	84156	15963
1513	84212	15907
1514	84266	15852
1515	84326	15797
1516	84382	15741
1517	84442	15686
1518	84501	15632
1519	84558	15576
1520	84614	15521
1521	84674	15466
1522	84729	15410
1523	84789	15355
1524	84860	15302
1525	84918	15247
1526	84973	15191
1527	85029	15136
1528	85087	15080
1529	85139	15024
1530	85192	14968
1531	85246	14912
1532	85304	14857
1533	85360	14801
1534	85416	14746
1535	85464	14689
1536	85517	14633
1537	85571	14577
1538	85628	14521
1539	85677	14465
1540	85737	14410
1541	85798	14355
1542	85851	14299
1543	85908	14243
1544	85964	14188
1545	86020	14132
1546	86080	14077
1547	86139	14022
1548	86198	13967
1549	86256	13912
